SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,NB_OF_INVOICES,DUREE,KWH,CONSOMMATION
0001BB,2018-01-01,2018-01-31,2 447,"316,46",35,30,2447,81.56666666666666
0001BB,2018-01-02,2018-02-28,2 211,"286,82",35,57,2211,38.78947368421053
0001BB,2018-01-03,2018-03-31,2 450,"317,32",35,87,2450,28.160919540229884
0001BB,2018-01-04,2018-04-30,2 431,"315,00",35,116,2431,20.95689655172414
0001BB,2018-01-05,2018-05-31,2 574,"333,37",35,146,2574,17.63013698630137
0001BB,2018-01-06,2018-06-30,2 830,"365,27",35,175,2830,16.17142857142857
0001BB,2018-01-07,2018-07-31,3 028,"390,39",35,205,3028,14.770731707317074
0001BB,2018-01-08,2018-08-31,3 053,"393,99",35,235,3053,12.991489361702127
0001BB,2018-01-09,2018-09-30,2 915,"378,35",35,264,2915,11.041666666666666
0001BB,2018-01-10,2018-10-31,2 986,"387,05",35,294,2986,10.156462585034014
0001BB,2018-01-11,2018-11-30,2 871,"372,47",35,323,2871,8.888544891640867
0001BB,2018-01-12,2018-12-31,3 086,"399,30",35,353,3086,8.742209631728045
0001BB,2019-01-01,2019-01-31,3 094,"381,40",35,30,3094,103.13333333333334
0001BB,2019-01-02,2019-02-28,2 767,"345,87",35,57,2767,48.54385964912281
0001BB,2019-01-03,2019-03-31,3 059,"378,18",35,87,3059,35.160919540229884
0001BB,2019-01-04,2019-04-30,2 761,"340,84",35,116,2761,23.801724137931036
0001BB,2019-01-05,2019-05-31,2 844,"349,26",35,146,2844,19.47945205479452
0001BB,2019-01-06,2019-06-30,3 009,"369,19",35,175,3009,17.194285714285716
0001BB,2019-01-07,2019-07-31,3 016,"371,20",35,205,3016,14.71219512195122
0001BB,2019-01-08,2019-08-31,3 089,"380,42",35,235,3089,13.14468085106383
0001BB,2019-01-09,2019-09-30,2 914,"361,36",35,264,2914,11.037878787878787
0001BB,2019-01-10,2019-10-31,2 963,"366,70",35,294,2963,10.078231292517007
0001BB,2019-01-11,2019-11-30,2 797,"345,89",35,323,2797,8.659442724458204
0001BB,2019-01-12,2019-12-31,2 859,"353,08",35,353,2859,8.09915014164306
0001BB,2020-01-01,2020-01-31,2 863,"414,93",35,30,2863,95.43333333333334
0001BB,2020-01-02,2020-02-29,2 663,"387,22",35,58,2663,45.91379310344828
0001BB,2020-01-03,2020-03-31,2 759,"403,25",35,88,2759,31.352272727272727
0001BB,2020-01-04,2020-04-30,2 680,"390,79",35,117,2680,22.905982905982906
0001BB,2020-01-05,2020-05-31,2 797,"407,48",35,147,2797,19.027210884353742
0001BB,2020-01-06,2020-06-30,2 796,"407,77",35,176,2796,15.886363636363637
0001BB,2020-01-07,2020-07-31,2 952,"429,09",35,206,2952,14.330097087378642
0001BB,2020-01-08,2020-08-31,3 014,"435,98",35,236,3014,12.771186440677965
0001BB,2020-01-09,2020-09-30,2 857,"411,97",35,265,2857,10.781132075471698
0001BB,2020-01-10,2020-10-31,2 905,"413,41",35,295,2905,9.847457627118644
0001BB,2020-01-11,2020-11-30,2 755,"383,02",35,324,2755,8.503086419753087
0001BR,2018-01-01,2018-01-31,2 438,"266,43",35,30,2438,81.26666666666667
0001BR,2018-01-02,2018-02-28,2 211,"242,33",35,57,2211,38.78947368421053
0001BR,2018-01-03,2018-03-31,2 453,"267,95",35,87,2453,28.195402298850574
0001BR,2018-01-04,2018-04-30,2 414,"263,78",35,116,2414,20.810344827586206
0001BR,2018-01-05,2018-05-31,2 517,"274,62",35,146,2517,17.23972602739726
0001BR,2018-01-06,2018-06-30,2 461,"268,63",35,175,2461,14.062857142857142
0001BR,2018-01-07,2018-07-31,2 560,"279,26",35,205,2560,12.487804878048781
0001BR,2018-01-08,2018-08-31,2 597,"283,07",35,235,2597,11.051063829787234
0001BR,2018-01-09,2018-09-30,2 436,"267,99",35,264,2436,9.227272727272727
0001BR,2018-01-10,2018-10-31,2 497,"274,50",35,294,2497,8.493197278911564
0001BR,2018-01-11,2018-11-30,2 397,"263,82",35,323,2397,7.421052631578948
0001BR,2018-01-12,2018-12-31,2 452,"269,69",35,353,2452,6.946175637393767
0001BR,2019-01-01,2019-01-31,2 460,"264,03",35,30,2460,82.0
0001BR,2019-01-02,2019-02-28,2 229,"239,96",35,57,2229,39.10526315789474
0001BR,2019-01-03,2019-03-31,2 475,"265,56",35,87,2475,28.448275862068964
0001BR,2019-01-04,2019-04-30,2 410,"258,76",35,116,2410,20.775862068965516
0001BR,2019-01-05,2019-05-31,2 508,"268,92",35,146,2508,17.17808219178082
0001BR,2019-01-06,2019-06-30,2 529,"270,94",35,175,2529,14.451428571428572
0001BR,2019-01-07,2019-07-31,2 593,"277,63",35,205,2593,12.648780487804878
0001BR,2019-01-08,2019-08-31,2 603,"278,60",35,235,2603,11.076595744680851
0001BR,2019-01-09,2019-09-30,2 595,"277,20",35,264,2595,9.829545454545455
0001BR,2019-01-10,2019-10-31,2 708,"288,79",35,294,2708,9.210884353741497
0001BR,2019-01-11,2019-11-30,2 595,"277,07",35,323,2595,8.034055727554179
0001BR,2019-01-12,2019-12-31,2 648,"282,57",35,353,2648,7.501416430594901
0001BR,2020-01-01,2020-01-31,2 600,"330,81",35,30,2600,86.66666666666667
0001BR,2020-01-02,2020-02-29,2 445,"311,57",35,58,2445,42.1551724137931
0001BR,2020-01-03,2020-03-31,2 609,"330,32",35,88,2609,29.647727272727273
0001BR,2020-01-04,2020-04-30,2 629,"332,70",35,117,2629,22.47008547008547
0001BR,2020-01-05,2020-05-31,2 735,"345,77",35,147,2735,18.60544217687075
0001BR,2020-01-06,2020-06-30,2 687,"339,78",35,176,2687,15.267045454545455
0001BR,2020-01-07,2020-07-31,2 854,"360,33",35,206,2854,13.854368932038835
0001BR,2020-01-08,2020-08-31,2 886,"364,21",35,236,2886,12.228813559322035
0001BR,2020-01-09,2020-09-30,2 761,"348,79",35,265,2761,10.418867924528302
0001BR,2020-01-10,2020-10-31,2 802,"353,90",35,295,2802,9.498305084745763
0001BR,2020-01-11,2020-11-30,2 677,"338,44",35,324,2677,8.262345679012345
0001KO,2018-01-01,2018-01-31,2 179,"268,53",35,30,2179,72.63333333333334
0001KO,2018-01-02,2018-02-28,1 971,"243,47",35,57,1971,34.578947368421055
0001KO,2018-01-03,2018-03-31,2 191,"269,98",35,87,2191,25.183908045977013
0001KO,2018-01-04,2018-04-30,2 370,"291,55",35,116,2370,20.43103448275862
0001KO,2018-01-05,2018-05-31,2 647,"324,92",35,146,2647,18.13013698630137
0001KO,2018-01-06,2018-06-30,2 634,"323,35",35,175,2634,15.051428571428572
0001KO,2018-01-07,2018-07-31,2 799,"343,43",35,205,2799,13.653658536585366
0001KO,2018-01-08,2018-08-31,2 908,"356,57",35,235,2908,12.374468085106383
0001KO,2018-01-09,2018-09-30,2 483,"307,29",35,264,2483,9.405303030303031
0001KO,2018-01-10,2018-10-31,2 297,"284,72",35,294,2297,7.812925170068027
0001KO,2018-01-11,2018-11-30,2 130,"264,46",35,323,2130,6.594427244582043
0001KO,2018-01-12,2018-12-31,2 489,"308,02",35,353,2489,7.050991501416431
0001KO,2019-01-01,2019-01-31,2 679,"364,03",35,30,2679,89.3
0001KO,2019-01-02,2019-02-28,2 429,"330,63",35,57,2429,42.6140350877193
0001KO,2019-01-03,2019-03-31,2 648,"359,89",35,87,2648,30.436781609195403
0001KO,2019-01-04,2019-04-30,2 478,"337,18",35,116,2478,21.362068965517242
0001KO,2019-01-05,2019-05-31,2 535,"344,79",35,146,2535,17.363013698630137
0001KO,2019-01-06,2019-06-30,2 884,"391,43",35,175,2884,16.48
0001KO,2019-01-07,2019-07-31,2 872,"389,82",35,205,2872,14.009756097560976
0001KO,2019-01-08,2019-08-31,2 978,"403,99",35,235,2978,12.672340425531916
0001KO,2019-01-09,2019-09-30,2 529,"343,99",35,264,2529,9.579545454545455
0001KO,2019-01-10,2019-10-31,2 487,"338,38",35,294,2487,8.459183673469388
0001KO,2019-01-11,2019-11-30,2 384,"324,62",35,323,2384,7.3808049535603715
0001KO,2019-01-12,2019-12-31,2 463,"335,17",35,353,2463,6.977337110481586
0001KO,2020-01-01,2020-01-31,2 454,"331,90",35,30,2454,81.8
0001KO,2020-01-02,2020-02-29,2 377,"321,70",35,58,2377,40.98275862068966
0001KO,2020-01-03,2020-03-31,2 596,"350,71",35,88,2596,29.5
0001KO,2020-01-04,2020-04-30,2 675,"365,40",35,117,2675,22.863247863247864
0001KO,2020-01-05,2020-05-31,2 781,"375,22",35,147,2781,18.918367346938776
0001KO,2020-01-06,2020-06-30,2 989,"402,77",35,176,2989,16.982954545454547
0001KO,2020-01-07,2020-07-31,3 322,"446,89",35,206,3322,16.12621359223301
0001KO,2020-01-08,2020-08-31,3 109,"418,67",35,236,3109,13.173728813559322
0001KO,2020-01-09,2020-09-30,2 911,"392,44",35,265,2911,10.984905660377358
0001KO,2020-01-10,2020-10-31,2 747,"370,72",35,295,2747,9.31186440677966
0001KO,2020-01-11,2020-11-30,2 625,"354,55",35,324,2625,8.101851851851851
0002BB,2018-01-01,2018-01-31,2 376,"310,46",35,30,2376,79.2
0002BB,2018-01-02,2018-02-28,2 160,"283,07",35,57,2160,37.89473684210526
0002BB,2018-01-03,2018-03-31,2 390,"313,01",35,87,2390,27.471264367816094
0002BB,2018-01-04,2018-04-30,2 378,"311,80",35,116,2378,20.5
0002BB,2018-01-05,2018-05-31,2 529,"330,93",35,146,2529,17.32191780821918
0002BB,2018-01-06,2018-06-30,2 790,"363,65",35,175,2790,15.942857142857143
0002BB,2018-01-07,2018-07-31,2 988,"388,77",35,205,2988,14.575609756097561
0002BB,2018-01-08,2018-08-31,3 019,"393,19",35,235,3019,12.846808510638297
0002BB,2018-01-09,2018-09-30,2 873,"376,62",35,264,2873,10.882575757575758
0002BB,2018-01-10,2018-10-31,2 940,"384,79",35,294,2940,10.0
0002BB,2018-01-11,2018-11-30,2 821,"369,46",35,323,2821,8.73374613003096
0002BB,2018-01-12,2018-12-31,3 029,"395,45",35,353,3029,8.580736543909348
0002BB,2019-01-01,2019-01-31,3 033,"378,02",35,30,3033,101.1
0002BB,2019-01-02,2019-02-28,2 684,"339,51",35,57,2684,47.08771929824562
0002BB,2019-01-03,2019-03-31,3 008,"376,16",35,87,3008,34.57471264367816
0002BB,2019-01-04,2019-04-30,2 663,"332,01",35,116,2663,22.95689655172414
0002BB,2019-01-05,2019-05-31,2 741,"339,86",35,146,2741,18.773972602739725
0002BB,2019-01-06,2019-06-30,2 952,"364,23",35,175,2952,16.86857142857143
0002BB,2019-01-07,2019-07-31,2 914,"363,68",35,205,2914,14.214634146341464
0002BB,2019-01-08,2019-08-31,2 965,"368,84",35,235,2965,12.617021276595745
0002BB,2019-01-09,2019-09-30,2 819,"352,21",35,264,2819,10.678030303030303
0002BB,2019-01-10,2019-10-31,2 927,"364,86",35,294,2927,9.95578231292517
0002BB,2019-01-11,2019-11-30,2 773,"346,35",35,323,2773,8.58513931888545
0002BB,2019-01-12,2019-12-31,2 822,"351,90",35,353,2822,7.994334277620396
0002BB,2020-01-01,2020-01-31,2 830,"406,02",35,30,2830,94.33333333333333
0002BB,2020-01-02,2020-02-29,2 625,"378,86",35,58,2625,45.258620689655174
0002BB,2020-01-03,2020-03-31,2 734,"396,33",35,88,2734,31.068181818181817
0002BB,2020-01-04,2020-04-30,2 644,"382,45",35,117,2644,22.5982905982906
0002BB,2020-01-05,2020-05-31,2 753,"397,69",35,147,2753,18.727891156462587
0002BB,2020-01-06,2020-06-30,2 763,"399,57",35,176,2763,15.698863636363637
0002BB,2020-01-07,2020-07-31,2 904,"418,43",35,206,2904,14.097087378640778
0002BB,2020-01-08,2020-08-31,2 962,"425,38",35,236,2962,12.55084745762712
0002BB,2020-01-09,2020-09-30,2 828,"406,82",35,265,2828,10.671698113207547
0002BB,2020-01-10,2020-10-31,2 875,"412,79",35,295,2875,9.745762711864407
0002BB,2020-01-11,2020-11-30,2 739,"381,14",35,324,2739,8.453703703703704
0002BR,2018-01-01,2018-01-31,2 187,"239,96",35,30,2187,72.9
0002BR,2018-01-02,2018-02-28,1 985,"218,51",35,57,1985,34.824561403508774
0002BR,2018-01-03,2018-03-31,2 209,"242,16",35,87,2209,25.39080459770115
0002BR,2018-01-04,2018-04-30,2 151,"235,47",35,116,2151,18.54310344827586
0002BR,2018-01-05,2018-05-31,2 251,"245,79",35,146,2251,15.417808219178083
0002BR,2018-01-06,2018-06-30,2 207,"241,00",35,175,2207,12.611428571428572
0002BR,2018-01-07,2018-07-31,2 290,"249,83",35,205,2290,11.170731707317072
0002BR,2018-01-08,2018-08-31,2 316,"252,45",35,235,2316,9.85531914893617
0002BR,2018-01-09,2018-09-30,2 172,"239,10",35,264,2172,8.227272727272727
0002BR,2018-01-10,2018-10-31,2 216,"244,03",35,294,2216,7.537414965986395
0002BR,2018-01-11,2018-11-30,2 313,"254,38",35,323,2313,7.1609907120743035
0002BR,2018-01-12,2018-12-31,2 659,"290,96",35,353,2659,7.53257790368272
0002BR,2019-01-01,2019-01-31,2 662,"284,26",35,30,2662,88.73333333333333
0002BR,2019-01-02,2019-02-28,2 409,"257,94",35,57,2409,42.26315789473684
0002BR,2019-01-03,2019-03-31,2 707,"288,61",35,87,2707,31.114942528735632
0002BR,2019-01-04,2019-04-30,2 624,"279,83",35,116,2624,22.620689655172413
0002BR,2019-01-05,2019-05-31,2 715,"289,18",35,146,2715,18.595890410958905
0002BR,2019-01-06,2019-06-30,2 741,"291,44",35,175,2741,15.662857142857144
0002BR,2019-01-07,2019-07-31,2 812,"298,72",35,205,2812,13.717073170731707
0002BR,2019-01-08,2019-08-31,2 537,"269,82",35,235,2537,10.795744680851064
0002BR,2019-01-09,2019-09-30,2 414,"257,19",35,264,2414,9.143939393939394
0002BR,2019-01-10,2019-10-31,2 489,"265,07",35,294,2489,8.465986394557824
0002BR,2019-01-11,2019-11-30,2 410,"257,13",35,323,2410,7.461300309597523
0002BR,2019-01-12,2019-12-31,2 493,"265,86",35,353,2493,7.062322946175637
0002BR,2020-01-01,2020-01-31,2 513,"319,43",35,30,2513,83.76666666666667
0002BR,2020-01-02,2020-02-29,2 400,"305,19",35,58,2400,41.37931034482759
0002BR,2020-01-03,2020-03-31,2 646,"333,77",35,88,2646,30.068181818181817
0002BR,2020-01-04,2020-04-30,2 674,"337,00",35,117,2674,22.854700854700855
0002BR,2020-01-05,2020-05-31,2 651,"334,85",35,147,2651,18.034013605442176
0002BR,2020-01-06,2020-06-30,2 586,"326,84",35,176,2586,14.693181818181818
0002BR,2020-01-07,2020-07-31,2 751,"347,07",35,206,2751,13.354368932038835
0002BR,2020-01-08,2020-08-31,2 780,"350,62",35,236,2780,11.779661016949152
0002BR,2020-01-09,2020-09-30,2 660,"335,86",35,265,2660,10.037735849056604
0002BR,2020-01-10,2020-10-31,2 745,"346,36",35,295,2745,9.305084745762711
0002BR,2020-01-11,2020-11-30,2 628,"331,97",35,324,2628,8.11111111111111
0002KO,2018-01-01,2018-01-31,2 312,"286,36",35,30,2312,77.06666666666666
0002KO,2018-01-02,2018-02-28,2 086,"259,13",35,57,2086,36.59649122807018
0002KO,2018-01-03,2018-03-31,2 308,"285,88",35,87,2308,26.528735632183906
0002KO,2018-01-04,2018-04-30,2 245,"278,29",35,116,2245,19.353448275862068
0002KO,2018-01-05,2018-05-31,2 339,"289,61",35,146,2339,16.02054794520548
0002KO,2018-01-06,2018-06-30,2 278,"282,26",35,175,2278,13.017142857142858
0002KO,2018-01-07,2018-07-31,2 348,"290,86",35,205,2348,11.453658536585365
0002KO,2018-01-08,2018-08-31,2 368,"293,27",35,235,2368,10.076595744680851
0002KO,2018-01-09,2018-09-30,2 248,"280,57",35,264,2248,8.515151515151516
0002KO,2018-01-10,2018-10-31,2 300,"286,88",35,294,2300,7.8231292517006805
0002KO,2018-01-11,2018-11-30,2 595,"322,68",35,323,2595,8.034055727554179
0002KO,2018-01-12,2018-12-31,2 765,"343,31",35,353,2765,7.8328611898017
0002KO,2019-01-01,2019-01-31,2 766,"377,48",35,30,2766,92.2
0002KO,2019-01-02,2019-02-28,2 500,"341,94",35,57,2500,43.85964912280702
0002KO,2019-01-03,2019-03-31,2 652,"362,25",35,87,2652,30.482758620689655
0002KO,2019-01-04,2019-04-30,2 483,"339,67",35,116,2483,21.405172413793103
0002KO,2019-01-05,2019-05-31,2 548,"348,35",35,146,2548,17.45205479452055
0002KO,2019-01-06,2019-06-30,2 514,"343,81",35,175,2514,14.365714285714287
0002KO,2019-01-07,2019-07-31,2 557,"349,55",35,205,2557,12.473170731707317
0002KO,2019-01-08,2019-08-31,2 575,"351,96",35,235,2575,10.957446808510639
0002KO,2019-01-09,2019-09-30,2 473,"338,33",35,264,2473,9.367424242424242
0002KO,2019-01-10,2019-10-31,2 550,"348,62",35,294,2550,8.673469387755102
0002KO,2019-01-11,2019-11-30,2 462,"336,86",35,323,2462,7.622291021671827
0002KO,2019-01-12,2019-12-31,2 520,"344,61",35,353,2520,7.138810198300283
0002KO,2020-01-01,2020-01-31,2 524,"343,21",35,30,2524,84.13333333333334
0002KO,2020-01-02,2020-02-29,2 437,"331,69",35,58,2437,42.01724137931034
0002KO,2020-01-03,2020-03-31,2 623,"356,33",35,88,2623,29.806818181818183
0002KO,2020-01-04,2020-04-30,2 632,"357,52",35,117,2632,22.495726495726494
0002KO,2020-01-05,2020-05-31,2 715,"368,52",35,147,2715,18.46938775510204
0002KO,2020-01-06,2020-06-30,2 655,"360,57",35,176,2655,15.085227272727273
0002KO,2020-01-07,2020-07-31,2 794,"378,98",35,206,2794,13.563106796116505
0002KO,2020-01-08,2020-08-31,2 845,"385,74",35,236,2845,12.055084745762711
0002KO,2020-01-09,2020-09-30,2 726,"369,97",35,265,2726,10.28679245283019
0002KO,2020-01-10,2020-10-31,2 797,"379,38",35,295,2797,9.48135593220339
0002KO,2020-01-11,2020-11-30,2 678,"363,62",35,324,2678,8.265432098765432
0003BB,2018-01-01,2018-01-31,2 100,"271,90",35,30,2100,70.0
0003BB,2018-01-02,2018-02-28,1 897,"246,46",35,57,1897,33.280701754385966
0003BB,2018-01-03,2018-03-31,2 103,"272,70",35,87,2103,24.17241379310345
0003BB,2018-01-04,2018-04-30,2 062,"267,67",35,116,2062,17.775862068965516
0003BB,2018-01-05,2018-05-31,2 144,"278,24",35,146,2144,14.684931506849315
0003BB,2018-01-06,2018-06-30,2 409,"311,78",35,175,2409,13.765714285714285
0003BB,2018-01-07,2018-07-31,2 675,"345,06",35,205,2675,13.048780487804878
0003BB,2018-01-08,2018-08-31,2 701,"348,81",35,235,2701,11.493617021276595
0003BB,2018-01-09,2018-09-30,2 147,"280,38",35,264,2147,8.132575757575758
0003BB,2018-01-10,2018-10-31,3 052,"394,40",35,294,3052,10.380952380952381
0003BB,2018-01-11,2018-11-30,2 527,"327,92",35,323,2527,7.823529411764706
0003BB,2018-01-12,2018-12-31,2 742,"354,90",35,353,2742,7.767705382436261
0003BB,2019-01-01,2019-01-31,2 729,"337,04",35,30,2729,90.96666666666667
0003BB,2019-01-02,2019-02-28,2 353,"291,99",35,57,2353,41.280701754385966
0003BB,2019-01-03,2019-03-31,2 587,"319,91",35,87,2587,29.735632183908045
0003BB,2019-01-04,2019-04-30,2 392,"296,52",35,116,2392,20.620689655172413
0003BB,2019-01-05,2019-05-31,2 476,"306,30",35,146,2476,16.958904109589042
0003BB,2019-01-06,2019-06-30,2 673,"331,24",35,175,2673,15.274285714285714
0003BB,2019-01-07,2019-07-31,2 849,"352,67",35,205,2849,13.897560975609757
0003BB,2019-01-08,2019-08-31,2 868,"354,63",35,235,2868,12.204255319148936
0003BB,2019-01-09,2019-09-30,2 739,"338,53",35,264,2739,10.375
0003BB,2019-01-10,2019-10-31,2 832,"349,45",35,294,2832,9.63265306122449
0003BB,2019-01-11,2019-11-30,2 700,"333,53",35,323,2700,8.359133126934985
0003BB,2019-01-12,2019-12-31,2 764,"341,07",35,353,2764,7.830028328611898
0003BB,2020-01-01,2020-01-31,2 765,"392,85",35,30,2765,92.16666666666667
0003BB,2020-01-02,2020-02-29,2 544,"364,42",35,58,2544,43.86206896551724
0003BB,2020-01-03,2020-03-31,2 671,"383,97",35,88,2671,30.352272727272727
0003BB,2020-01-04,2020-04-30,2 608,"373,97",35,117,2608,22.29059829059829
0003BB,2020-01-05,2020-05-31,2 691,"385,30",35,147,2691,18.306122448979593
0003BB,2020-01-06,2020-06-30,2 663,"381,63",35,176,2663,15.130681818181818
0003BB,2020-01-07,2020-07-31,2 789,"398,15",35,206,2789,13.53883495145631
0003BB,2020-01-08,2020-08-31,2 839,"404,26",35,236,2839,12.029661016949152
0003BB,2020-01-09,2020-09-30,2 709,"386,06",35,265,2709,10.222641509433963
0003BB,2020-01-10,2020-10-31,2 765,"393,20",35,295,2765,9.372881355932204
0003BB,2020-01-11,2020-11-30,2 642,"366,39",35,324,2642,8.154320987654321
0003BR,2018-01-01,2018-01-31,2 437,"266,44",35,30,2437,81.23333333333333
0003BR,2018-01-02,2018-02-28,2 206,"241,91",35,57,2206,38.70175438596491
0003BR,2018-01-03,2018-03-31,2 446,"267,32",35,87,2446,28.114942528735632
0003BR,2018-01-04,2018-04-30,2 423,"264,79",35,116,2423,20.887931034482758
0003BR,2018-01-05,2018-05-31,2 532,"276,25",35,146,2532,17.34246575342466
0003BR,2018-01-06,2018-06-30,2 478,"270,43",35,175,2478,14.16
0003BR,2018-01-07,2018-07-31,2 556,"278,84",35,205,2556,12.46829268292683
0003BR,2018-01-08,2018-08-31,2 598,"283,15",35,235,2598,11.05531914893617
0003BR,2018-01-09,2018-09-30,2 453,"269,79",35,264,2453,9.291666666666666
0003BR,2018-01-10,2018-10-31,2 506,"275,51",35,294,2506,8.523809523809524
0003BR,2018-01-11,2018-11-30,2 409,"265,07",35,323,2409,7.458204334365325
0003BR,2018-01-12,2018-12-31,2 455,"270,01",35,353,2455,6.954674220963173
0003BR,2019-01-01,2019-01-31,2 467,"264,75",35,30,2467,82.23333333333333
0003BR,2019-01-02,2019-02-28,2 237,"240,77",35,57,2237,39.24561403508772
0003BR,2019-01-03,2019-03-31,2 494,"267,47",35,87,2494,28.666666666666668
0003BR,2019-01-04,2019-04-30,2 426,"260,39",35,116,2426,20.913793103448278
0003BR,2019-01-05,2019-05-31,2 526,"270,73",35,146,2526,17.301369863013697
0003BR,2019-01-06,2019-06-30,2 566,"274,67",35,175,2566,14.662857142857144
0003BR,2019-01-07,2019-07-31,2 618,"280,06",35,205,2618,12.770731707317074
0003BR,2019-01-08,2019-08-31,2 615,"279,72",35,235,2615,11.127659574468085
0003BR,2019-01-09,2019-09-30,2 484,"266,17",35,264,2484,9.409090909090908
0003BR,2019-01-10,2019-10-31,2 736,"291,59",35,294,2736,9.306122448979592
0003BR,2019-01-11,2019-11-30,2 617,"279,31",35,323,2617,8.102167182662539
0003BR,2019-01-12,2019-12-31,2 660,"283,77",35,353,2660,7.5354107648725215
0003BR,2020-01-01,2020-01-31,2 662,"338,47",35,30,2662,88.73333333333333
0003BR,2020-01-02,2020-02-29,2 524,"321,27",35,58,2524,43.51724137931034
0003BR,2020-01-03,2020-03-31,2 694,"340,71",35,88,2694,30.613636363636363
0003BR,2020-01-04,2020-04-30,2 704,"341,86",35,117,2704,23.11111111111111
0003BR,2020-01-05,2020-05-31,2 801,"353,83",35,147,2801,19.05442176870748
0003BR,2020-01-06,2020-06-30,2 743,"346,60",35,176,2743,15.585227272727273
0003BR,2020-01-07,2020-07-31,2 920,"368,35",35,206,2920,14.174757281553399
0003BR,2020-01-08,2020-08-31,2 872,"362,49",35,236,2872,12.169491525423728
0003BR,2020-01-09,2020-09-30,2 818,"355,93",35,265,2818,10.633962264150943
0003BR,2020-01-10,2020-10-31,2 862,"361,39",35,295,2862,9.701694915254237
0003BR,2020-01-11,2020-11-30,2 739,"346,21",35,324,2739,8.453703703703704
0003KO,2018-01-01,2018-03-31,6 293,"985,04",11,89,6293,70.70786516853933
0003KO,2018-01-04,2018-06-30,7 082,"1 118,25",11,177,7082,40.01129943502825
0003KO,2018-01-07,2018-09-30,6 740,"1 066,96",11,266,6740,25.338345864661655
0003KO,2018-01-10,2018-12-31,8 423,"1 331,26",11,355,8423,23.72676056338028
0003KO,2019-01-01,2019-03-31,7 883,"1 373,30",11,89,7883,88.57303370786516
0003KO,2019-01-04,2019-06-30,7 024,"1 229,28",11,177,7024,39.68361581920904
0003KO,2019-01-07,2019-09-30,7 143,"1 251,45",11,266,7143,26.853383458646615
0003KO,2019-01-10,2019-12-31,7 707,"1 345,33",11,355,7707,21.70985915492958
0003KO,2020-01-01,2020-03-31,6 561,"1 058,29",11,90,6561,72.9
0003KO,2020-01-04,2020-06-30,7 511,"1 220,24",11,178,7511,42.19662921348315
0003KO,2020-01-07,2020-09-30,7 823,"1 270,14",11,267,7823,29.299625468164795
0004BB,2018-01-01,2018-01-31,14 414,"1 369,33",36,30,0,0.0
0004BB,2018-01-02,2018-02-28,12 328,"1 171,16",36,57,0,0.0
0004BB,2018-01-03,2018-03-31,12 849,"1 220,66",36,87,0,0.0
0004BB,2018-01-04,2018-04-30,14 535,"1 380,83",36,116,0,0.0
0004BB,2018-01-05,2018-05-31,14 547,"1 381,97",36,146,0,0.0
0004BB,2018-01-06,2018-06-30,14 379,"1 366,01",36,175,0,0.0
0004BB,2018-01-07,2018-07-31,15 907,"1 511,17",36,205,0,0.0
0004BB,2018-01-08,2018-08-31,15 701,"1 491,60",36,235,0,0.0
0004BB,2018-01-09,2018-09-30,15 544,"1 476,68",36,264,0,0.0
0004BB,2018-01-10,2018-10-31,14 691,"1 395,65",36,294,0,0.0
0004BB,2018-01-11,2018-11-30,14 728,"1 399,16",36,323,0,0.0
0004BB,2018-01-12,2018-12-31,15 174,"1 441,53",36,353,0,0.0
0004BB,2019-01-01,2019-01-31,9 410,"1 246,83",36,30,9410,313.6666666666667
0004BB,2019-01-01,2019-01-31,15 297,"2 026,85",36,30,0,0.0
0004BB,2019-01-02,2019-02-28,13 756,"1 822,67",36,57,0,0.0
0004BB,2019-01-03,2019-03-31,15 810,"2 094,83",36,87,0,0.0
0004BB,2019-01-04,2019-04-30,14 090,"1 866,93",36,116,0,0.0
0004BB,2019-01-05,2019-05-31,14 081,"1 865,73",36,146,0,0.0
0004BB,2019-01-06,2019-06-30,17 034,"2 257,01",36,175,0,0.0
0004BB,2019-01-07,2019-07-31,14 906,"1 975,05",36,205,0,0.0
0004BB,2019-01-08,2019-08-31,14 638,"1 939,54",36,235,0,0.0
0004BB,2019-01-09,2019-09-30,11 200,"1 484,00",36,264,0,0.0
0004BB,2019-01-10,2019-10-31,12 068,"1 599,01",36,294,0,0.0
0004BB,2019-01-11,2019-11-30,11 184,"1 481,88",36,323,0,0.0
0004BB,2019-01-12,2019-12-31,9 904,"1 312,28",36,353,9904,28.056657223796034
0004BB,2020-01-01,2020-01-31,9 410,"1 246,83",36,30,9410,313.6666666666667
0004BB,2020-01-02,2020-02-29,9 465,"1 254,11",36,58,9465,163.18965517241378
0004BB,2020-01-03,2020-03-31,8 849,"1 172,49",36,88,8849,100.55681818181819
0004BB,2020-01-04,2020-04-30,9 214,"1 220,86",36,117,9214,78.75213675213675
0004BB,2020-01-05,2020-05-31,9 883,"1 309,50",36,147,9883,67.2312925170068
0004BB,2020-01-06,2020-06-30,9 050,"1 199,13",36,176,9050,51.42045454545455
0004BB,2020-01-07,2020-07-31,9 809,"1 299,69",36,206,9809,47.616504854368934
0004BB,2020-01-08,2020-08-31,9 962,"1 319,97",36,236,9962,42.21186440677966
0004BB,2020-01-09,2020-09-30,9 092,"1 204,69",36,265,9092,34.30943396226415
